cve_id,published,last_modified,vuln_status,description,cvss_score,cvss_version,cwe,references,is_kev,kev_name,kev_date_added,kev_action,epss_score,cwe_description,severity,days_old,cvss_norm,epss_norm,attack_type,classify_method,priority_score,priority_tier
CVE-2024-7399,2024-08-09 04:43:29.828000+00:00,2026-04-25 03:55:30.861000+00:00,PUBLISHED,Improper limitation of a pathname to a restricted directory vulnerability in Samsung MagicINFO 9 Server version before 21.1050 allows attackers to write arbitrary file as system authority.,8.8,3.1,CWE-22,[],1,Samsung MagicINFO 9 Server Path Traversal Vulnerability,2026-04-24,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.8258,Path Traversal,High,681,0.8800000000000001,0.8258,Path Traversal,CWE,0.891,P1 - Immediate
CVE-2026-48027,2026-05-27 15:50:01.143000+00:00,2026-05-28 03:55:41.841000+00:00,PUBLISHED,"Nx Console is the user interface for Nx & Lerna. On 19 May 2026, a malicious version of Nx Console, 18.95.0, was published at 12:30 PM UTC and removed soon after at 12:48 PM UTC, leaving it available for ~18 minutes in Visual Studio Marketplace. For OpenVSX, the problem was detected later, and the compromised version was available from 12:33 UTC to 13:09 UTC (~36 minutes). Version 18.100.0 of Nx Console is not compromised and users may remediate by upgrading to that version.",9.3,4.0,CWE-506,[],1,Nx Console Embedded Malicious Code Vulnerability,2026-05-27,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.7659,,Critical,24,0.93,0.7659,Other / Unknown,unknown,0.8901,P1 - Immediate
CVE-2026-42897,2026-05-14 17:00:36.515000+00:00,2026-06-19 16:12:39.764000+00:00,PUBLISHED,Improper neutralization of input during web page generation ('cross-site scripting') in Microsoft Exchange Server allows an unauthorized attacker to perform spoofing over a network.,8.1,3.1,CWE-79,[],1,Microsoft Exchange Server Cross-Site Scripting Vulnerability,2026-05-15,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.8986,XSS,High,37,0.8099999999999999,0.8986,XSS,CWE,0.8885,P1 - Immediate
CVE-2025-48595,2026-06-01 21:14:49.921000+00:00,2026-06-03 03:55:19.122000+00:00,PUBLISHED,"In multiple locations, there is a possible way to achieve code execution due to an integer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",8.0,,,[],1,Android Framework Integer Overflow Vulnerability,2026-06-02,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.9097,,High,19,0.8,0.9097,Integer Overflow,keyword,0.8884,P1 - Immediate
CVE-2026-41091,2026-05-20 13:09:13.634000+00:00,2026-06-19 16:13:11.923000+00:00,PUBLISHED,Improper link resolution before file access ('link following') in Microsoft Defender allows an authorized attacker to elevate privileges locally.,7.8,3.1,CWE-59,[],1,Microsoft Defender Link Following Vulnerability,2026-05-20,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.9317,,High,31,0.78,0.9317,Other / Unknown,unknown,0.8881,P1 - Immediate
CVE-2026-20253,2026-06-10 17:16:21.242000+00:00,2026-06-19 03:55:19.206000+00:00,PUBLISHED,"In Splunk Enterprise 10.2 versions below 10.2.4 and 10 versions below 10.0.7, an unauthenticated user could create or truncate arbitrary files through a PostgreSQL sidecar service endpoint. The vulnerability exists because the PostgreSQL sidecar service endpoint lacks authentication controls, allowing any network-reachable user to invoke file operations without credentials. Splunk Enterprise versions 9.4 and earlier are not affected. If you cannot immediately upgrade to a fixed version, you can mitigate this vulnerability by disabling the PostgreSQL sidecar service.",9.8,3.1,CWE-306,[],1,Splunk Enterprise Missing Authentication for Critical Function Vulnerability,2026-06-18,"Apply mitigations in accordance with vendor instructions, ensuring compliance with CISA’s BOD 26-04 Prioritizing Security Updates Based on Risk (see URL in Notes) guidance and CISA’s “Forensics Triage Requirements” (see URL in Notes). Follow applicable BOD 26-04 guidance for cloud services or discontinue use of the product if mitigations are unavailable. Stakeholders are responsible for evaluating each asset's internet exposure and ensuring adherence to BOD 26-04 patching guidelines.",0.6539,Authentication Bypass,Critical,10,0.9800000000000001,0.6539,Authentication Bypass,CWE,0.8709,P1 - Immediate
CVE-2026-54420,2026-06-14 03:23:12.863000+00:00,2026-06-16 03:56:05.377000+00:00,PUBLISHED,"LiteSpeed cPanel plugin before 2.4.8 (as distributed in LiteSpeed WHM PlugIn before 5.3.2.0) mishandles symlinks provided by a user with FTP or web shell access on a shared hosting server running CloudLinux/CageFS, as exploited in the wild in May 2026.",8.5,3.1,CWE-61,[],1,LiteSpeed cPanel Plugin UNIX Symbolic Link (Symlink) Following Vulnerability,2026-06-15,"Apply mitigations in accordance with vendor instructions, ensuring compliance with CISA’s BOD 26-04 Prioritizing Security Updates Based on Risk (see URL in Notes) guidance and CISA’s “Forensics Triage Requirements” (see URL in Notes). Follow applicable BOD 26-04 guidance for cloud services or discontinue use of the product if mitigations are unavailable. Stakeholders are responsible for evaluating each asset's internet exposure and ensuring adherence to BOD 26-04 patching guidelines.",0.7959,,High,7,0.85,0.7959,Other / Unknown,unknown,0.8686,P1 - Immediate
CVE-2010-0249,2010-01-15 17:00:00+00:00,2026-05-21 03:55:30.221000+00:00,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 6, 6 SP1, 7, and 8 on Windows 2000 SP4; Windows XP SP2 and SP3; Windows Server 2003 SP2; Windows Vista Gold, SP1, and SP2; Windows Server 2008 Gold, SP2, and R2; and Windows 7 allows remote attackers to execute arbitrary code by accessing a pointer associated with a deleted object, related to incorrectly initialized memory and improper handling of objects in memory, as exploited in the wild in December 2009 and January 2010 during Operation Aurora, aka ""HTML Object Memory Corruption Vulnerability.""",8.0,,,[],1,Microsoft Internet Explorer Use-After-Free Vulnerability,2026-05-20,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.8486,,High,6000,0.8,0.8486,Code Injection / RCE,keyword,0.867,P1 - Immediate
CVE-2009-1537,2009-05-29 18:00:00+00:00,2026-05-21 03:55:22.095000+00:00,PUBLISHED,"Unspecified vulnerability in the QuickTime Movie Parser Filter in quartz.dll in DirectShow in Microsoft DirectX 7.0 through 9.0c on Windows 2000 SP4, Windows XP SP2 and SP3, and Windows Server 2003 SP2 allows remote attackers to execute arbitrary code via a crafted QuickTime media file, as exploited in the wild in May 2009, aka ""DirectX NULL Byte Overwrite Vulnerability.""",8.0,,,[],1,Microsoft DirectX NULL Byte Overwrite Vulnerability,2026-05-20,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.8439,,High,6231,0.8,0.8439,Code Injection / RCE,keyword,0.8654,P1 - Immediate
CVE-2026-20182,2026-05-14 16:08:25.566000+00:00,2026-06-16 17:57:59.048000+00:00,PUBLISHED,"May 2026: This security advisory provides the details and fix information for a vulnerability that was discovered and fixed after the  was disclosed in February 2026. This new advisory is for a new vulnerability in the control connection handshaking. The  section of this advisory includes Show Control Connections guidance to help with system checks.&nbsp;

A vulnerability in the peering authentication in Cisco Catalyst SD-WAN Controller, formerly SD-WAN vSmart, Cisco Catalyst SD-WAN Manager, formerly SD-WAN vManage, and Cisco Catalyst SD-WAN Validator, formerly SD-WAN vBond, could allow an unauthenticated, remote attacker to bypass authentication and obtain administrative privileges on an affected system.
This vulnerability exists because the peering authentication mechanism in an affected system is not working properly. An attacker could exploit this vulnerability by sending crafted requests to the affected system. A successful exploit could allow the attacker to log in to an affected Cisco Catalyst SD-WAN Controller as an internal, high-privileged, non-root user account. Using this account, the attacker could access NETCONF, which would then allow the attacker to manipulate network configuration for the SD-WAN fabric.",10.0,3.1,CWE-287,[],1,Cisco Catalyst SD-WAN Controller Authentication Bypass Vulnerability,2026-05-14,Please adhere to CISA’s guidelines to assess exposure and mitigate risks associated with Cisco SD-WAN devices as outlined in CISA’s Emergency Directive 26-03 (URL listed below in Notes) and CISA’s Hunt & Hardening Guidance for Cisco SD-WAN Devices (URL listed below in Notes). Adhere to the applicable BOD 22-01 guidance for cloud services or discontinue use of the product if mitigations are not available.,0.5958,Authentication Bypass,Critical,37,1.0,0.5958,Authentication Bypass,CWE,0.8585,P1 - Immediate
CVE-2026-20245,2026-06-04 22:33:00.748000+00:00,2026-06-12 21:18:19.941000+00:00,PUBLISHED,"A vulnerability in the CLI of Cisco Catalyst SD-WAN Controller, formerly SD-WAN vSmart, Cisco Catalyst SD-WAN Manager, formerly SD-WAN vManage, and Cisco Catalyst SD-WAN Validator, formerly SD-WAN vBond, could allow an authenticated, local attacker to execute arbitrary commands as root by supplying a crafted file to the affected system.

This vulnerability is due to insufficient validation of user-supplied input. An attacker could exploit this vulnerability by uploading a crafted file to the affected system. A successful exploit could allow the attacker to perform command injection attacks on an affected system and elevate their privileges as the root user.&nbsp;
To exploit this vulnerability, the attacker must have netadmin privileges on the affected system. This would require valid credentials or exploitation of  or . Cisco is not aware of successful exploitation by other methods. Cisco has observed limited cases where the exploitation of this bug resulted in a configuration change pushed to edge devices.
Cisco recommends that customers upgrade to the fixed software that is documented in the  that was published on May 14, 2026, and verify the configuration of the edge devices.",7.8,3.1,CWE-116,[],1,Cisco Catalyst SD-WAN Manager Improper Encoding or Escaping of Output Vulnerability,2026-06-09,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.8448,XSS,High,16,0.78,0.8448,XSS,CWE,0.8577,P1 - Immediate
CVE-2008-4250,2008-10-23 21:00:00+00:00,2026-05-21 03:55:20.953000+00:00,PUBLISHED,"The Server service in Microsoft Windows 2000 SP4, XP SP2 and SP3, Server 2003 SP1 and SP2, Vista Gold and SP1, Server 2008, and 7 Pre-Beta allows remote attackers to execute arbitrary code via a crafted RPC request that triggers the overflow during path canonicalization, as exploited in the wild by Gimmiv.A in October 2008, aka ""Server Service Vulnerability.""",8.0,,,[],1,Microsoft Windows Buffer Overflow Vulnerability,2026-05-20,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.8202,,High,6449,0.8,0.8202,Code Injection / RCE,keyword,0.8571,P1 - Immediate
CVE-2026-9082,2026-05-20 18:20:52.863000+00:00,2026-05-23 03:55:38.207000+00:00,PUBLISHED,"Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in Drupal Drupal core allows SQL Injection.

This issue affects Drupal core: from 8.9.0 before 10.4.10, from 10.5.0 before 10.5.10, from 10.6.0 before 10.6.9, from 11.0.0 before 11.1.10, from 11.2.0 before 11.2.12, from 11.3.0 before 11.3.10.",9.8,3.1,CWE-89,[],1,Drupal Core SQL Injection Vulnerability,2026-05-22,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.6114,SQL Injection,Critical,31,0.9800000000000001,0.6114,SQL Injection,CWE,0.856,P1 - Immediate
CVE-2025-29635,2025-03-25 00:00:00+00:00,2026-04-25 03:55:37.481000+00:00,PUBLISHED,"A command injection vulnerability in D-Link DIR-823X 240126 and 240802 allows an authorized attacker to execute arbitrary commands on remote devices by sending a POST request to /goform/set_prohibiting via the corresponding function, triggering remote command execution.",8.0,,,[],1,D-Link DIR-823X Command Injection Vulnerability,2026-04-24,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.7848,,High,453,0.8,0.7848,Command Injection,keyword,0.8447,P1 - Immediate
CVE-2026-0300,2026-05-06 18:57:39.876000+00:00,2026-06-09 09:02:50.781000+00:00,PUBLISHED,"A buffer overflow vulnerability in the User-ID™ Authentication Portal (aka Captive Portal) service of Palo Alto Networks PAN-OS software allows an unauthenticated attacker to execute arbitrary code with root privileges on the PA-Series and VM-Series firewalls by sending specially crafted packets. 

The risk of this issue is greatly reduced if you secure access to the User-ID™ Authentication Portal per the  best practice guidelines https://knowledgebase.paloaltonetworks.com/KCSArticleDetail  by restricting access to only trusted internal IP addresses.

Prisma Access, Cloud NGFW and Panorama appliances are not impacted by this vulnerability.",9.3,4.0,CWE-787,[],1,Palo Alto Networks PAN-OS Out-of-bounds Write Vulnerability,2026-05-06,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable. Until the vendor releases an official fix, the following workaround should be implemented:  - Restrict User-ID Authentication Portal access to only trusted zones.  - Disable User-ID Authentication Portal if not required. 5/13/2026: Palo Alto has released a variety of patches. If these are relevant to your environment, please apply the designated patch.",0.6317,Out-of-Bounds Write,Critical,45,0.93,0.6317,Out-of-Bounds Write,CWE,0.8431,P1 - Immediate
CVE-2024-1708,2024-02-21 15:29:10.091000+00:00,2026-04-29 03:55:27.225000+00:00,PUBLISHED,"ConnectWise ScreenConnect 23.9.7 and prior are affected by path-traversal vulnerability, which may allow an attacker 

the ability to execute remote code or directly impact confidential data or critical systems.",8.4,3.1,CWE-22,[],1,ConnectWise ScreenConnect Path Traversal Vulnerability,2026-04-28,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.7121,Path Traversal,High,850,0.8400000000000001,0.7121,Path Traversal,CWE,0.8352,P1 - Immediate
CVE-2024-57728,2025-01-15 00:00:00+00:00,2026-04-25 03:55:36.284000+00:00,PUBLISHED,SimpleHelp remote support software v5.5.7 and before allows admin users to upload arbitrary files anywhere on the file system by uploading a crafted zip file (i.e. zip slip). This can be exploited to execute arbitrary code on the host in the context of the SimpleHelp server user.,8.0,,,[],1,SimpleHelp Path Traversal Vulnerability,2026-04-24,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.7474,,High,522,0.8,0.7474,Code Injection / RCE,keyword,0.8316,P1 - Immediate
CVE-2022-0492,2022-03-03 00:00:00+00:00,2026-06-03 03:55:20.847000+00:00,PUBLISHED,"A vulnerability was found in the Linux kernel’s cgroup_release_agent_write in the kernel/cgroup/cgroup-v1.c function. This flaw, under certain circumstances, allows the use of the cgroups v1 release_agent feature to escalate privileges and bypass the namespace isolation unexpectedly.",8.0,,CWE-287,[],1,Linux Kernel Improper Authentication Vulnerability,2026-06-02,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.7359,Authentication Bypass,High,1571,0.8,0.7359,Authentication Bypass,CWE,0.8276,P1 - Immediate
CVE-2026-6973,2026-05-07 15:21:24.849000+00:00,2026-06-11 16:17:26.449000+00:00,PUBLISHED,"An Improper Input Validation in Ivanti EPMM before versions 12.6.1.1, 12.7.0.1, and 12.8.0.1 allows a remotely authenticated user with administrative access to achieve remote code execution.",7.2,3.1,CWE-20,[],1,Ivanti Endpoint Manager Mobile (EPMM) Improper Input Validation Vulnerability,2026-05-07,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.8221,Improper Input Validation,High,44,0.72,0.8221,Improper Input Validation,CWE,0.8257,P1 - Immediate
CVE-2026-11645,2026-06-08 23:27:31.298000+00:00,2026-06-10 03:58:04.682000+00:00,PUBLISHED,Out of bounds read and write in V8 in Google Chrome prior to 149.0.7827.103 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page. (Chromium security severity: High),8.0,,,[],1,Google Chromium V8 Out-of-Bounds Read and Write Vulnerability,2026-06-09,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.7237,,High,12,0.8,0.7237,Code Injection / RCE,keyword,0.8233,P1 - Immediate
CVE-2010-0806,2010-03-10 22:00:00+00:00,2026-05-21 03:55:29.109000+00:00,PUBLISHED,"Use-after-free vulnerability in the Peer Objects component (aka iepeers.dll) in Microsoft Internet Explorer 6, 6 SP1, and 7 allows remote attackers to execute arbitrary code via vectors involving access to an invalid pointer after the deletion of an object, as exploited in the wild in March 2010, aka ""Uninitialized Memory Corruption Vulnerability.""",8.0,,,[],1,Microsoft Internet Explorer Use-After-Free Vulnerability,2026-05-20,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.7084,,High,5946,0.8,0.7084,Code Injection / RCE,keyword,0.8179,P1 - Immediate
CVE-2026-39987,2026-04-09 17:16:55.639000+00:00,2026-04-24 03:55:20.777000+00:00,PUBLISHED,"marimo is a reactive Python notebook. Prior to 0.23.0, Marimo has a Pre-Auth RCE vulnerability. The terminal WebSocket endpoint /terminal/ws lacks authentication validation, allowing an unauthenticated attacker to obtain a full PTY shell and execute arbitrary system commands. Unlike other WebSocket endpoints (e.g., /ws) that correctly call validate_auth() for authentication, the /terminal/ws endpoint only checks the running mode and platform support before accepting connections, completely skipping authentication verification. This vulnerability is fixed in 0.23.0.",9.3,4.0,CWE-306,[],1,Marimo Remote Code Execution Vulnerability,2026-04-23,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.5256,Authentication Bypass,Critical,72,0.93,0.5256,Authentication Bypass,CWE,0.806,P1 - Immediate
CVE-2026-28318,2026-06-04 14:05:58.218000+00:00,2026-06-06 03:55:57.072000+00:00,PUBLISHED,SolarWinds Serv-U is susceptible to specially crafted POST requests that crash the Serv-U service without authentication using Content-Encoding: deflate. Mitigation steps are provided to secure customer environments in the SolarWinds Trust Center if you are unable to deploy the update,7.5,3.1,CWE-400,[],1,SolarWinds Serv-U Uncontrolled Resource Consumption Vulnerability,2026-06-05,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",0.7158,DoS,High,16,0.75,0.7158,DoS,CWE,0.8005,P1 - Immediate
